id,loan_amnt,term,int_rate,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,pub_rec,acc_now_delinq,avg_cur_bal,chargeoff_within_12_mths,delinq_amnt,num_accts_ever_120_pd,num_actv_bc_tl,num_bc_sats,pub_rec_bankruptcies
40001,19075, 60 months,25.80%,G,HRD Coordinator,10+ years,RENT,48000,Source Verified,Charged Off,other,791xx,TX,12.71,0,1,0,0,1496,1,0,2,3,3,0
40002,10800, 36 months,15.10%,C,Collector,3 years,RENT,70000,Not Verified,Fully Paid,credit_card,450xx,OH,21.07,0,1,0,0,6837,0,0,5,4,4,0
40003,10000, 36 months,11.99%,B,Administrator of Health Services,9 years,MORTGAGE,170000,Verified,Fully Paid,debt_consolidation,065xx,CT,12.12,2,1,0,0,22019,0,0,3,5,6,0
40004,18000, 60 months,16.20%,C,EDUCATION TECH,2 years,MORTGAGE,70000,Verified,Fully Paid,major_purchase,919xx,CA,19.16,0,1,0,0,38631,0,0,6,2,2,0
40005,8125, 36 months,17.76%,D,lvn,4 years,OWN,45000,Verified,Fully Paid,debt_consolidation,945xx,CA,15.71,0,2,0,0,26569,0,0,0,3,3,0
40006,10000, 36 months,11.99%,B,machine tech,10+ years,MORTGAGE,150000,Not Verified,Fully Paid,home_improvement,298xx,SC,9.79,1,0,0,0,27050,0,0,0,4,4,0
40007,12700, 36 months,19.52%,D,Staff Sergeant,6 years,RENT,52800,Verified,Fully Paid,medical,283xx,NC,8.16,0,1,0,0,3082,0,0,0,3,3,0
40008,10000, 36 months,12.99%,B,Director Region 3,3 years,MORTGAGE,55000,Verified,Fully Paid,debt_consolidation,346xx,FL,23.32,1,0,0,0,22220,0,0,2,4,4,0
40009,18225, 60 months,24.99%,F,genaral manager,10+ years,RENT,47000,Verified,Charged Off,other,967xx,HI,21.22,0,1,0,0,9830,0,0,1,1,1,0
40010,10000, 36 months,11.99%,B,production worker,10+ years,OWN,33000,Verified,Fully Paid,debt_consolidation,717xx,AR,25.02,1,0,0,0,914,0,0,0,8,10,0
40011,14075, 36 months,18.55%,D,Crew Leader,10+ years,RENT,49000,Verified,Fully Paid,home_improvement,081xx,NJ,12.37,0,1,0,0,5824,0,0,0,2,2,0
40012,7125, 36 months,19.52%,D,Office Manager,5 years,MORTGAGE,30000,Not Verified,Fully Paid,debt_consolidation,754xx,TX,9.16,0,0,0,0,1376,0,0,0,2,2,0
40013,10000, 36 months,14.30%,C,Sales Engineer,1 year,RENT,75000,Source Verified,Fully Paid,credit_card,951xx,CA,9.21,0,0,0,0,3741,0,0,0,6,7,0
40014,25000, 60 months,17.10%,C,Mechanical designer,2 years,MORTGAGE,60000,Source Verified,Fully Paid,debt_consolidation,549xx,WI,21.28,0,0,0,0,10536,0,0,0,6,7,0
40015,13000, 60 months,23.70%,F,Sales Rep,4 years,MORTGAGE,95000,Source Verified,Fully Paid,debt_consolidation,331xx,FL,21.98,0,4,0,0,4033,0,0,1,6,8,0
40016,9750, 36 months,11.99%,B,EMT,1 year,RENT,30000,Source Verified,Fully Paid,credit_card,917xx,CA,23.1,2,1,0,0,5858,0,0,2,5,9,0
40017,7000, 36 months,15.10%,C,appliance sales,1 year,RENT,40000,Not Verified,Fully Paid,debt_consolidation,601xx,IL,21.69,0,2,0,0,1214,0,0,0,6,7,0
40018,20000, 60 months,11.99%,B,Lead,10+ years,MORTGAGE,90000,Verified,Fully Paid,debt_consolidation,362xx,AL,30.64,0,0,0,0,34537,0,0,0,4,4,0
40019,22050, 60 months,21.70%,E,laborer,10+ years,MORTGAGE,65000,Verified,Charged Off,debt_consolidation,453xx,OH,12.46,0,1,0,0,2713,0,0,0,4,6,0
40020,10000, 36 months,14.30%,C,Air Personality,2 years,RENT,37500,Not Verified,Fully Paid,car,018xx,MA,14.24,0,1,0,0,1254,0,0,0,6,6,0
40021,9000, 36 months,15.10%,C,Inventory Control,< 1 year,RENT,38000,Not Verified,Charged Off,debt_consolidation,027xx,MA,27.66,0,2,0,0,3535,0,0,0,4,6,0
40022,35000, 60 months,15.61%,C,Curriculum Director,10+ years,RENT,85000,Verified,Fully Paid,debt_consolidation,033xx,NH,22.83,0,0,0,0,4456,0,0,0,4,4,0
40023,20000, 36 months,15.10%,C,Teacher,2 years,RENT,53000,Verified,Fully Paid,credit_card,751xx,TX,33.37,0,1,0,0,2447,0,0,0,10,13,0
40024,10000, 36 months,16.20%,C,Fire Alarm Inspector,< 1 year,MORTGAGE,42000,Source Verified,Fully Paid,home_improvement,647xx,MO,27.66,2,1,0,0,7585,1,0,1,0,1,0
40025,11100, 36 months,17.10%,C,,< 1 year,RENT,33000,Verified,Fully Paid,small_business,984xx,WA,30.4,0,0,0,0,3993,0,0,0,4,6,0
40026,12000, 36 months,10.99%,B,VICE PRESIDENT-REGIONAL MANAGER,1 year,RENT,119000,Source Verified,Fully Paid,credit_card,261xx,WV,9.12,2,0,0,0,2667,0,0,2,5,5,0
40027,16000, 36 months,10.99%,B,Administrative Manager,9 years,MORTGAGE,85000,Not Verified,Fully Paid,credit_card,997xx,AK,13.92,0,0,0,0,11522,0,0,0,8,9,0
40028,12000, 36 months,6.03%,A,Design Lead,10+ years,MORTGAGE,106000,Source Verified,Fully Paid,credit_card,551xx,MN,13.19,1,1,0,0,11735,0,0,0,11,14,0
40029,8400, 36 months,12.99%,B,Systems Manager,2 years,RENT,58000,Not Verified,Fully Paid,debt_consolidation,323xx,FL,11.64,0,1,0,0,3958,0,0,0,4,4,0
40030,20000, 36 months,12.99%,B,Case Manager,< 1 year,RENT,67000,Verified,Fully Paid,debt_consolidation,958xx,CA,14.35,0,0,0,0,1971,0,0,0,4,5,0
40031,15000, 60 months,12.99%,B,Customer Service Manager,10+ years,MORTGAGE,100000,Verified,Fully Paid,debt_consolidation,986xx,WA,19.63,0,1,0,0,34785,0,0,0,3,3,0
40032,3000, 36 months,17.76%,D,Sales Member,< 1 year,OWN,14400,Source Verified,Fully Paid,credit_card,551xx,MN,10.92,0,0,0,0,2622,0,0,0,3,3,0
40033,24000, 36 months,10.99%,B,Project Manager,< 1 year,MORTGAGE,100000,Verified,Fully Paid,credit_card,770xx,TX,25.4,0,1,0,0,13404,0,0,0,6,6,0
40034,15000, 36 months,19.20%,D,Vice President,10+ years,RENT,133000,Verified,Fully Paid,credit_card,782xx,TX,16.36,0,2,0,0,5070,0,0,3,7,8,0
40035,8000, 36 months,9.99%,B,Licensed Practical Nurse,4 years,MORTGAGE,34000,Source Verified,Fully Paid,credit_card,158xx,PA,24.18,0,0,0,0,8906,0,0,0,1,4,0
40036,19000, 36 months,11.99%,B,Microcomputer Specialist,10+ years,MORTGAGE,63000,Verified,Fully Paid,debt_consolidation,160xx,PA,30.8,0,0,1,0,20562,0,0,0,4,5,1
40037,15000, 60 months,17.10%,C,tire tech&forklift driver,10+ years,OWN,74000,Verified,Charged Off,debt_consolidation,371xx,TN,10.46,0,0,1,0,5014,0,0,0,3,3,1
40038,12000, 36 months,14.30%,C,IT Analyst,< 1 year,MORTGAGE,65000,Not Verified,Fully Paid,debt_consolidation,373xx,TN,6.65,0,0,1,0,23607,0,0,0,4,4,1
40039,9000, 36 months,10.99%,B,Project Manager,5 years,RENT,59000,Verified,Fully Paid,credit_card,910xx,CA,12.22,0,0,0,0,2863,0,0,0,6,6,0
40040,21000, 60 months,15.61%,C,Assistant VP,10+ years,OWN,110000,Source Verified,Fully Paid,credit_card,136xx,NY,11.66,1,0,0,0,15370,0,0,0,7,10,0
40041,7000, 36 months,13.67%,B,POLICE OFFICER,10+ years,MORTGAGE,65000,Verified,Fully Paid,debt_consolidation,322xx,FL,34.84,0,0,0,0,24205,0,0,0,5,5,0
40042,4750, 36 months,16.20%,C,Customer Service Coordinator,< 1 year,RENT,28000,Not Verified,Fully Paid,debt_consolidation,570xx,SD,29.83,1,0,0,0,1132,0,0,0,4,4,0
40043,5000, 36 months,11.99%,B,Sales Business Analyst,10+ years,RENT,48000,Not Verified,Fully Paid,credit_card,307xx,GA,13.55,0,0,0,0,1317,0,0,0,4,4,0
40044,13000, 36 months,9.99%,B,superintendent,2 years,MORTGAGE,45000,Source Verified,Charged Off,debt_consolidation,347xx,FL,6.61,0,1,0,0,13846,0,0,1,4,10,0
40045,15000, 60 months,22.40%,E,Respiratory Therapist,3 years,RENT,85000,Source Verified,Charged Off,debt_consolidation,952xx,CA,24.61,0,1,0,0,7649,0,0,0,4,5,0
40046,25000, 60 months,25.57%,F,Sr Benefits Adminstrator,< 1 year,OWN,60000,Verified,Fully Paid,debt_consolidation,128xx,NY,27.7,0,3,0,0,2106,0,0,6,5,6,0
40047,10000, 60 months,16.20%,C,Computer Programmer,10+ years,MORTGAGE,104000,Verified,Fully Paid,credit_card,302xx,GA,18.42,1,0,0,0,19306,0,0,0,5,6,0
40048,25000, 60 months,19.52%,D,Child Support Specialist II,3 years,RENT,73800,Source Verified,Fully Paid,credit_card,995xx,AK,25.69,0,0,0,0,4339,0,0,0,8,8,0
40049,16000, 36 months,9.99%,B,Accounting Manager,< 1 year,MORTGAGE,80000,Source Verified,Fully Paid,debt_consolidation,801xx,CO,22.15,0,2,0,0,16225,0,0,0,7,8,0
40050,28200, 60 months,22.40%,E,security,10+ years,RENT,63000,Verified,Charged Off,debt_consolidation,107xx,NY,24.69,0,1,0,0,4654,0,0,0,3,3,0
40051,8000, 36 months,17.76%,D,Customs Officer,5 years,RENT,75000,Not Verified,Fully Paid,debt_consolidation,330xx,FL,21.25,0,0,0,0,5947,0,0,1,4,4,0
40052,12000, 60 months,24.50%,F,"Manager, Global Delivery Management",9 years,RENT,96000,Verified,Fully Paid,other,981xx,WA,11.04,1,1,0,0,6940,0,0,1,2,2,0
40053,21100, 36 months,10.99%,B,Sr Graphic Designer,10+ years,MORTGAGE,60000,Source Verified,Fully Paid,debt_consolidation,282xx,NC,29.38,0,0,0,0,15036,0,0,0,4,4,0
40054,25975, 60 months,23.10%,E,Community Banker,< 1 year,MORTGAGE,58800,Source Verified,Charged Off,debt_consolidation,285xx,NC,12.37,0,0,0,0,37364,0,0,0,3,4,0
40055,20400, 60 months,16.20%,C,pharmacist,10+ years,MORTGAGE,69000,Source Verified,Fully Paid,debt_consolidation,481xx,MI,29.62,0,0,0,0,9472,0,0,0,2,2,0
40056,6075, 36 months,12.99%,B,HR Coordinator,< 1 year,RENT,55000,Not Verified,Fully Paid,debt_consolidation,925xx,CA,14.29,0,2,1,0,11610,0,0,0,2,2,1
40057,5000, 36 months,13.67%,B,Network Administrator,10+ years,OWN,59425,Not Verified,Fully Paid,home_improvement,596xx,MT,24.68,0,1,0,0,12931,0,0,1,2,2,0
40058,22500, 60 months,15.61%,C,respiratory therapist,7 years,RENT,80000,Source Verified,Charged Off,debt_consolidation,952xx,CA,29.99,1,0,0,0,38310,0,0,0,5,6,0
40059,10000, 36 months,9.99%,B,Nurse practitioner,6 years,MORTGAGE,90000,Not Verified,Fully Paid,credit_card,303xx,GA,19.61,1,0,0,0,22167,0,0,1,2,2,0
40060,6000, 36 months,16.20%,C,"Manager, Underwriting",10+ years,MORTGAGE,85000,Verified,Fully Paid,credit_card,461xx,IN,34.45,1,0,0,0,7325,0,0,0,6,9,0
40061,5000, 36 months,22.40%,E,Cashwrap Lead,< 1 year,RENT,31200,Verified,Fully Paid,debt_consolidation,113xx,NY,14.87,0,1,0,0,853,0,0,0,7,7,0
40062,6000, 36 months,14.30%,C,bookeeper,10+ years,MORTGAGE,50000,Not Verified,Fully Paid,debt_consolidation,066xx,CT,11.71,1,0,0,0,11454,0,0,1,3,3,0
40063,8400, 36 months,12.99%,B,,n/a,RENT,48000,Verified,Charged Off,debt_consolidation,920xx,CA,18.88,0,1,0,0,2951,0,0,0,2,2,0
40064,4200, 36 months,15.61%,C,Fireman,10+ years,MORTGAGE,78000,Not Verified,Fully Paid,debt_consolidation,339xx,FL,16,3,2,0,0,28980,0,0,3,1,1,0
40065,18550, 60 months,24.99%,F,hvac tech,5 years,RENT,45000,Verified,Fully Paid,debt_consolidation,665xx,KS,5.97,1,3,0,0,16717,0,0,0,2,4,0
40066,8400, 36 months,17.76%,D,Project Manager,10+ years,MORTGAGE,90000,Source Verified,Fully Paid,debt_consolidation,070xx,NJ,12.75,1,2,0,0,2966,0,0,1,5,6,0
40067,15875, 36 months,19.20%,D,radiology technologist,10+ years,RENT,68000,Verified,Fully Paid,credit_card,917xx,CA,27.16,0,0,0,0,4501,0,0,0,6,7,0
40068,8000, 36 months,19.52%,D,Respiratory therapist,2 years,RENT,50000,Not Verified,Fully Paid,debt_consolidation,782xx,TX,13.56,0,1,0,0,6413,0,0,0,3,3,0
40069,4300, 36 months,15.10%,C,Occupancy Specialist II,10+ years,MORTGAGE,57000,Verified,Fully Paid,debt_consolidation,922xx,CA,3.77,0,1,1,0,1083,0,0,0,3,5,1
40070,5000, 36 months,17.10%,C,Information Desk Supervisor,10+ years,MORTGAGE,138000,Not Verified,Fully Paid,home_improvement,604xx,IL,11.65,1,3,0,0,12427,0,0,2,4,4,0
40071,30000, 36 months,11.99%,B,North American Market Manager,2 years,RENT,120000,Verified,Fully Paid,debt_consolidation,300xx,GA,10.77,1,1,0,0,4625,0,0,0,4,6,0
